id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.8,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was January 2, 2022, at 9:00pm ET/PT on CNN. The film was also available on demand via cable/satellite systems, CNNgo platforms, and CNN mobile apps from January 3 to January 16, 2022.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.8,"Based on the information provided in the documents, ""Good Sam"" is considered a medical drama. This can be inferred from Doc 4 which mentions ""Medical drama Good Sam, starring Sophia Bush,"" and Doc 5 which provides a brief synopsis fitting a medical drama genre.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.8,"Kentucky won the 2022 Citrus Bowl, securing a 20-17 victory over Iowa according to the information provided in the documents.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.8,"According to the documents, Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.",1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.8,"The documents do not explicitly state the number of vehicles Tesla delivered in 2021. However, we can infer this information from the data provided for 2022 and the growth rates mentioned.

From Doc 4, we know that Tesla delivered 1.31 million vehicles in 2022, representing a 40% increase over the previous year. We can use this information to estimate the 2021 delivery numbers.

Let \( x \) be the number of vehicles delivered in 2021. According to the 40% growth:

\[ 1.31 = x + 0.4x \]
\[ 1.31 = 1.4x \]
\[ x = \frac{1.31}{1.4} \]
\[ x \approx 0.9357 \]

Rounding to the nearest whole number, Tesla delivered approximately 936,000 vehicles in 2021.

Additionally, Doc 5 confirms this by stating that Tesla delivered 936,172 vehicles in 2021, which aligns closely with our calculation.

Therefore, based on the provided documents, Tesla delivered approximately",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.8,"According to the information provided in Document 4, EVO Entertainment Group acquired 100% of ShowBiz Cinemas. The acquisition was an all-cash deal and expanded EVO's operations to include 89 screens and 79 bowling lanes across nine locations in Texas, Oklahoma, Florida, and Wyoming.",1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.8,"According to the information provided in Doc 2, the Super Bowl LVI was held on February 13, 2022, at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.8,"According to the documents, Truth Social launched on iOS on February 21st, 2022. This date is mentioned in Doc 4, which states, ""Truth Social was launched on February 21st, 2022, which is President’s Day in the US.""",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.8,"According to the documents, ""The Power of the Dog"" won the Best Picture Drama at the 79th Golden Globe Awards.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.8,The Georgia Tech softball 2022 season tickets cost $100 per seat.,1,0,0
