id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",1.0,"I can not answer the question because of the insufficient information in documents. The provided documents do not specify a premiere date for the movie 'Carole King & James Taylor: Just Call Out My Name'. Doc 2 mentions that the movie has not released yet, but no release date is given.",0,1,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],1.0,"I can not answer the question because of the insufficient information in documents. The provided documents do not mention a drama titled ""Good Sam."" They discuss a movie called ""Christmas Vacation"" and a roadside assistance service called Good Sam, but there is no information about a drama named ""Good Sam.""",0,1,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],1.0,I can not answer the question because of the insufficient information in documents.,0,1,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],1.0,I can not answer the question because of the insufficient information in documents. The provided documents do not mention Jason Semore's position at Valdosta State University before returning to Georgia Tech.,0,1,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",1.0,"Based on the information provided in the documents, there is no direct mention of the exact number of vehicles Tesla delivered in 2021. However, we can infer that Tesla delivered 1,313,851 vehicles in 2022, which represents a 40% growth over the previous year. Given this growth rate, we can estimate the number of vehicles delivered in 2021 by dividing the 2022 number by 1.40 (since a 40% increase means the 2022 number is 140% of the 2021 number).

\[ \text{2021 Deliveries} = \frac{1,313,851}{1.40} \approx 938,465 \]

Therefore, Tesla likely delivered approximately 938,465 vehicles in 2021.",0,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],1.0,I can not answer the question because of the insufficient information in documents. The provided documents do not mention any acquisition of ShowBiz Cinemas by another company.,0,1,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],1.0,"Based on the provided documents, there is no direct information about the location of the Super Bowl in 2022. However, Doc 4 mentions that the Los Angeles Rams won Super Bowl LVI at SoFi Stadium in 2022. Since Super Bowl LVI refers to the 2022 Super Bowl, we can infer that the Super Bowl in 2022 was held at SoFi Stadium in Los Angeles. Therefore, the Super Bowl in 2022 was held in Los Angeles at SoFi Stadium.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",1.0,"The provided documents do not specify an exact launch date for Truth Social on iOS. Therefore, I cannot answer the question because of the insufficient information in documents.",0,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],1.0,"Based on the information provided in the documents, there is no mention of a Best Drama category at the 79th Golden Globe Awards. The documents list winners for categories such as Best Motion Picture — Drama, Best Performance by an Actress in a Television Series – Drama, and others, but not specifically for Best Drama. Therefore, I cannot answer the question because of the insufficient information in the documents.",0,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],1.0,I can not answer the question because of the insufficient information in documents.,0,1,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",1.0,"The provided documents do not specify the exact end date of the 2022 Olympic Winter Games in Beijing. Therefore, I cannot answer the question because of the insufficient information in documents.",0,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],1.0,"Based on the information provided in Document 4, Barcelona won the Spanish Super Cup for the first time since the competition was revamped and moved to Saudi Arabia with a 3-1 victory. Therefore, the winner of the Spanish Super Cup 2022 was Barcelona.",0,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",1.0,"Based on the information provided in the documents, Microsoft is acquiring Activision Blizzard for $95 per share. This can be inferred from the fact that Activision shares are trading about 24% below this acquisition price of $95 per share as mentioned in Doc 5.",0,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],1.0,"I can not answer the question because of the insufficient information in documents. The provided documents discuss the general cost of Super Bowl ads and mention the price for the most expensive Super Bowl ad of all time (in 2020), but they do not specify the exact price for a 30-second spot during the Super Bowl 2022.",0,1,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",1.0,I can not answer the question because of the insufficient information in documents. The provided documents do not specify the exact date of the 2022 Sports Star of the Year Awards Show.,0,1,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",1.0,I can not answer the question because of the insufficient information in documents. The provided documents do not specify the recipient of the 2022 Ivan Allen Jr. Prize for Social Courage.,0,1,0
16,What is the codename for Google's AR headset project?,['Project Iris'],1.0,"Based on the information provided in the documents, the codename for Google's AR headset project is not explicitly mentioned. Therefore, I cannot answer the question because of the insufficient information in the documents.",0,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",1.0,"Based on the information provided in the documents, there is no specific name given for Meta's AI supercomputer. However, Document 2 mentions that ""Meta Is Building the World's Fastest AI Supercomputer"" but does not provide a name for it. Therefore, I can not answer the question because of the insufficient information in documents.",0,1,0
18,When will American students start taking digital SAT exams?,['2024'],1.0,"Based on the provided documents, there is no specific date mentioned for when American students will start taking digital SAT exams. However, several documents indicate that preparations are ongoing and that more information will be shared in the future. For instance, Doc 3 mentions that the SAT is going digital but does not specify a start date. Doc 5 confirms that students will not take the online PSAT or SAT tests at home, but again, it does not provide a timeline. Given these details, I can not answer the question because of the insufficient information in documents.",0,1,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",1.0,"Based on the information provided in the documents, the Paralympic Winter Games 2022 started on February 4, 2022. This can be inferred from Doc 3, which states ""Feb 4, 2022 ... As the games begin.""",0,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",1.0,I can not answer the question because of the insufficient information in documents.,0,1,0
21,Who won the 2022 Nobel Prize for chemistry?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",1.0,"I can not answer the question because of the insufficient information in documents. The provided documents do not specify the winner of the 2022 Nobel Prize in Chemistry. They provide information about past winners, but there is no mention of the 2022 laureate.",0,1,0
22,Who won the Super Bowl 2022?,['Los Angeles Rams'],1.0,"I can not answer the question because of the insufficient information in documents. The provided documents do not specify the winner of the Super Bowl 2022. The closest relevant document discusses a Super Bowl that took place in February 2023, but it does not mention the specific winner.",0,1,0
23,Who won women's 500m speed skating at the 2022 Winter Olympics?,['Erin Jackson'],1.0,"Based on the information provided in the documents, Erin Jackson won the women's 500m speed skating event at the 2022 Winter Olympics in Beijing.",1,0,0
24,When was Lost Ark game release on Steam?,"['February 11', 'Feb 11', 'Feb. 11', 'February 11', '11 February', '11 Feb', '11 Feb.', '11 February']",1.0,I can not answer the question because of the insufficient information in documents.,0,1,0
25,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"['silver', 'Silver', 'bronze', 'Bronze']",1.0,"Based on the information provided in the documents, Jessie Diggins won a gold medal in the sprint free event at the Olympic Winter Games Beijing 2022.",0,0,0
26,What is the genre of The Endgame (TV show)?,['crime'],1.0,"I can not answer the question because of the insufficient information in documents. The provided documents discuss ""Avengers: Endgame,"" which is a 2019 American superhero film, not a TV show titled ""The Endgame."" Therefore, there is no information available about a TV show genre named ""The Endgame"" in the given documents.",0,1,0
27,When did Russia invade Ukraine?,"['February 24', 'Feb 24', 'Feb. 24', '24 February', '24 Feb', '24 Feb.']",1.0,"The documents do not explicitly state a specific date for when Russia invaded Ukraine. However, based on the context provided, it can be inferred that the invasion began in late 2022, as the documents mention events such as referendums on annexation taking place in late September 2022, and actions like the annexation announcement by Vladimir Putin on September 30, 2022. For a precise start date, additional information would be needed.",0,0,0
28,When was Elden Ring being released?,"['February 25', 'Feb 25', 'Feb. 25', '25 February', '25 Feb', '25 Feb.']",1.0,"Elden Ring was released in late February 2022, as mentioned in Document 1.",0,0,0
