id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,Who is the director of 'Carole King & James Taylor: Just Call Out My Name' and when is its premiere?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022', 'Frank Marshall']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
1,Who won the 2022 and 2023 Citrus Bowl?,"['Kentucky Wildcats', 'LSU']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
2,Where are the Super Bowl held in 2022 and 2023?,"['SoFi Stadium', 'Glendale, Ariz']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
3,What won best drama and best Musical/Comedy at 79th Golden Globes?,"['The Power of the Dog', 'West Side Story']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
4,When does the 2022 Olympic Winter Games start and end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.', 'February 4']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
5,When do the Paralympic and Olympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.', 'February 4']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
6,Super Bowl 2022 date and location?,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.', 'SoFi Stadium']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
7,Who are the winners of the 2022 Nobel Prizes for chemistry and physics?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless', 'Alain Aspect', 'John F. Clauser', 'Anton Zeilinger']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
8,Who won the Super Bowl 2022 and who was named the MVP?,"['Los Angeles Rams', 'Cooper Kupp']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
9,Who won men's and women's 500m speed skating at the 2022 Winter Olympics?,"['Erin Jackson', 'Gao Tingyu']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
10,When were Elden Ring and Splatoon 3 being released?,"['February 25', 'Feb 25', 'Feb. 25', '25 February', '25 Feb', '25 Feb.', 'September 9', 'Sept. 9']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
11,Who were the Male and Female Vocalists of the Year at the 2022 CMA?,"['Chris Stapleton', 'Lainey Wilson']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
12,What chips do the iPhone 14 and iPhone 14 pro have?,"['A15', 'A16']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
13,When and where is Google I/O 2022 scheduled to take place?,"['May 11', '12', 'Shoreline Amphitheatre']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
14,What films won the 2022 and 2023 Academy Awards for Best Picture?,"['CODA', 'Everything Everywhere All at Once']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
15,When will the 95th and 94th Academy Awards be held?,"['March 27', 'Mar 27', 'Mar. 27', '27 March', '27 Mar', '27 Mar.', 'March 12, 2023']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
16,What won Album of the Year at the GRAMMYs 2022 and what was the song of the year?,"['We are', 'Just Like That']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
17,Who won the men's and women's singles Australian Open 2022?,"['Ashleigh Barty', 'Rafael Nadal']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
18,Who won the men's and women's singles Australian Open 2023?,"['Aryna Sabalenka', 'Novak Djokovic']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
19,Who are the champions of the French Open 2022 in men's and women's singles? ,"['Iga Swiatek', 'Rafael Nadal']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
20,Who won the men's and women's singles French Open 2023?,"['Iga Swiatek', 'ovak Djokovic']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
21,Who are the runners-up in the men's and women's singles at the 2023 French Open?,"['Karolina Muchova', 'Casper Ruud']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
22,Who are the champion of the men's and women's singles at Wimbledon 2022?,"['Elena Rybakina', 'Novak Djokovic']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
23,Who are the champion of the men's and women's singles at Wimbledon 2023?,"['Marketa Vondrousova', 'Markéta Vondroušová', 'Carlos Alcaraz']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
24,How many titles have both Swiatek and Djokovic won in the 2022 season?,"['eight', '8', 'five', '5']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
25,Who are the champions of the U.S. Open 2022 men's and women's singles?,"['Carlos Alcaraz', 'Iga Swiatek']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
26,What were Tesla's revenues in Q1 and Q2 of 2022 respectively?,"['18.76 billion', '16.93 billion']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
27,Who won the French Presidential Election 2022 and who were the candidates?,"['Emmanuel Macron', 'Marine Le Pen']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
28,Where and when will the 2022 Met Gala take place?,"['Metropolitan Museum of Art', 'May 2']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
29,What were the revenues of Apple and Google in Q3 2022?,"['83 billion', '83.0 billion', '69.1 billion', '69.09 billion']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
30,When was the ChatGPT and GPT4 released?,"['November 30 2022', 'Nov 30, 2022', 'Nov. 30, 2022', 'November 30, 2022', '30 November 2022', '30 Nov, 2022', '30 Nov., 2022', '30 November, 2022', 'March 14, 2023']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
31,What is the location and date of the Major League Baseball Field of Dreams Game 2022?,"['Dyersville, Iowa', 'August 11']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
32,Who won the World Cup Final in 2022 and who were the runners-up?,"['Argentina', 'France']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
33,What were the unemployment rate in August and September  2022 in the U.S.?,"['3.7%', '3.7 percent', '3.5']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
34,Where and when did Queen Elizabeth II die?,"['Balmoral', '8 September', 'September 8']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
35,Who stars as Susie Wallis and who is the director of Susie Searches?,"['Kiersey Clemons', 'Sophie Kargman']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
36,Who are the men's and women's year-end No 1 in tennis in 2022?,"['Carlos Alcaraz', 'Iga Swiatek']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
37,What is Columbia University's and CMU's QS rankings in 2023?,"['22', '52']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
38,What were the inflation and unemployment rates in the U.S. in August?,"['8.3%', '3.7']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
39,When and where is ACL 2023 taking place?,"['July 9', 'Jul 9', 'Jul. 9', '9 July', '9 Jul', '9 Jul.', 'Toronto']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
40,Where and when is EMNLP 2023 taking place?,"['December 6', 'Dec 6', 'Dec. 6', '6 December', '6 Dec', '6 Dec.', 'Singapore']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
41,When and where did Queen Elizabeth II's state funeral take place?,"['Westminster Abbey', 'September 19']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
42,When and where did the Golden Globe Awards 2023 take place?,"['January 10', 'Jan 10', 'Jan. 10', '10 January', '10 Jan', '10 Jan.', 'Beverly Hills']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
43,Who killed Shinzo Abe and when it happened?,"['Tetsuya Yamagami', '8 July', 'July 8']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
44,who won the 2022 nobel prize in economics and literature?,"['Annie Ernaux', 'Ben Bernanke', 'Douglas Diamond', 'Philip Dybvig']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
45,Who played Adrianna Tomaz and Ishmael Gregor in the movie Black Adam?,"['Sarah Shahi', 'Marwan Kenzari']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
46,Who stars as Dr. Ben Seong and Addison Augustine in the Quantum Leap revival?,"['Raymond Lee', 'Caitlin Bassett']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
47,What are the prices of RTX 4080 and RTX 4090 GPUs at launch?,"['$1599', '$1,599', '1199', '1,199']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
48,What is the release date of Sweetwater and who is the director of the film?,"['April 14 2023', 'Apr 14, 2023', 'Apr. 14, 2023', 'April 14, 2023', '14 April 2023', '14 Apr, 2023', '14 Apr., 2023', '14 April, 2023', 'Martin Guigui']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
49,Who voice Batman and Redbird in Batwheels?,"['Ethan Hawke', 'Jordan Reed']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
50,When did Rishi Sunak and Liz Truss become Prime Ministers of the UK?,"['October 25 2022', 'Oct 25, 2022', 'Oct. 25, 2022', 'October 25, 2022', '25 October 2022', '25 Oct, 2022', '25 Oct., 2022', '25 October, 2022', '6 September 2022', 'September 6']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
51,How much do the Netflix Basic with Ads and without ADs subscription cost?,"['6.99', '15.49']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
52,Where and when does The White Lotus Season 2 take place?,"['Sicily', 'October 30', 'Oct 30', 'Oct. 30']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
53,Which party controls the house and the senate after the 2022 midterm elections?,"['Republican ', 'Democrats']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
54,Who won the U.S. Senate in Nevada and Florida in the 2022 midterm elections?,"['Catherine Cortez Masto', 'Marco Rubio']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
55,Who designed Naomi Biden's wedding dress and when was their wedding held?,"['Ralph Lauren', 'November 19']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
56,What groupings are France and Germany in World Cup 2022? ,"['Group D', 'Group E']",0.0,I can not answer the question because of the insufficient information in documents.,0,1,0
