id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.0,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.0,"The genre of the drama ""Good Sam"" is Medical drama.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.0,"The 2022 Citrus Bowl was won by Kentucky. [Doc 1], [Doc 2], [Doc 3], [Doc 4], and [Doc 5] all confirm this.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.0,Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.,1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.0,"The documents provided indicate that Tesla delivered 936,172 vehicles in 2021. This information is consistent across multiple documents.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.0,The company that acquired ShowBiz Cinemas is Evo Entertainment Group. This information is consistent across all the provided documents.,1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.0,"The Super Bowl is held in SoFi Stadium in Inglewood, California in 2022.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.0,"Truth Social launched on iOS on February 21st, as reported in multiple documents.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.0,"The document provides two sources that both agree on the winner of the Best Drama category at the 79th Golden Globes. Both Doc 1 and Doc 4 state that ""The Power of the Dog"" won Best Motion Picture – Drama. Therefore, the answer is ""The Power of the Dog"".

However, it's important to note that Doc 2 and Doc 5 have a factual error as they state that ""The Power of the Dog"" won Best Motion Picture – Musical or Comedy, which is incorrect. The correct category for ""The Power of the Dog"" is Best Motion Picture – Drama.

In summary, the correct answer is ""The Power of the Dog"" won Best Drama at the 79th Golden Globes, but there are factual errors in the provided documents regarding the category of the award.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.0,The documents provided indicate that the cost for Georgia Tech softball 2022 season tickets is $100 per seat.,1,0,0
