id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,Super Bowl 2021 location,"['Tampa, Florida']",0.0,"Super Bowl 2021 took place at Raymond James Stadium in Tampa, Florida.",1,0,0
1,Which country won the most medals at the 2018 Winter Olympics?,['Norway'],0.0,"Based on the information provided in the documents, Norway won the most medals at the 2018 Winter Olympics, setting a record with 39 medals, which surpassed the previous record of 37 medals held by the United States from the 2010 Winter Olympics.",1,0,0
2,Who acquired Instagram?,['Facebook'],0.0,"Facebook acquired Instagram. According to the documents, Facebook made the acquisition in April 2012 for $1 billion.",1,0,0
3,Who acquired WhatsApp?,['Facebook'],0.0,"Facebook acquired WhatsApp. This information is directly stated in multiple documents, including Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5.",1,0,0
4,Who won the women's singles Wimbledon in 2019?,['Simona Halep'],0.0,Simona Halep won the women's singles Wimbledon in 2019.,1,0,0
5,Who won the women's singles Wimbledon in 2018?,['Angelique Kerber'],0.0,Angelique Kerber won the women's singles Wimbledon in 2018.,1,0,0
6,Who won the women's singles Wimbledon in 2021?,['Ashleigh Barty'],0.0,Ashleigh Barty won the women's singles Wimbledon in 2021.,1,0,0
7,Who won the men's singles Wimbledon in 2013?,['Andy Murray'],0.0,"According to the documents, Andy Murray won the men's singles Wimbledon in 2013 by defeating Novak Djokovic in the final.",1,0,0
8,Who won the women's singles U.S. Open in 2021?,['Emma Raducanu'],0.0,Emma Raducanu won the women's singles U.S. Open in 2021 by defeating Leylah Fernandez.,1,0,0
9,Who won the men's singles U.S. Open in 2020?,['Dominic Thiem'],0.0,"According to the documents, Dominic Thiem won the men's singles U.S. Open in 2020.",1,0,0
10,Who won the women's singles U.S. Open in 2019?,['Bianca Andreescu'],0.0,Bianca Andreescu won the women's singles U.S. Open in 2019.,1,0,0
11,Who won the men's singles U.S. Open 2021?,['Daniil Medvedev'],0.0,Daniil Medvedev won the men's singles title at the 2021 U.S. Open.,1,0,0
12,What was Tesla's revenue in Q1 2021?,['$10.4 billion'],0.0,"According to the documents provided, Tesla's revenue in Q1 2021 was $10.4 billion.",1,0,0
13,What was Tesla's revenue in Q2 2020?,['$6.04 billion'],0.0,"According to the documents provided, Tesla's revenue in Q2 2020 was $6.04 billion.",1,0,0
14,What was Tesla's revenue in Q3 2019?,['$6.3 billion'],0.0,Tesla's revenue in Q3 2019 was $6.3 billion.,1,0,0
15,When was Splatoon 2 released?,"['July 21 2017', 'Jul 21, 2017', 'Jul. 21, 2017', 'July 21, 2017', '21 July 2017', '21 Jul, 2017', '21 Jul., 2017', '21 July, 2017']",0.0,Splatoon 2 was released worldwide on 21 July 2017.,1,0,0
16,Who acquired 20th Century Fox?,['Disney'],0.0,"The Walt Disney Company acquired 20th Century Fox. This information is directly stated in Document 5, which mentions ""The Walt Disney Co. has set a $52.4 billion, all-stock deal to acquire 20th Century Fox and other entertainment and sports assets from [21st Century Fox]."" Documents 1, 3, and 4 also support this by discussing the acquisition of 20th Century Fox by The Walt Disney Company.",1,0,0
17,Who won the French Presidential Election 2017?,['Emmanuel Macron'],0.0,Emmanuel Macron won the French Presidential Election in 2017.,1,0,0
18,Who won the US Presidential Election 2020?,['Joe Biden'],0.0,"According to the documents provided, Joe Biden won the 2020 US Presidential Election to become the 46th US President.",1,0,0
19,When was Diablo 3 released?,"['May 15 2012', 'May 15, 2012', 'May. 15, 2012', 'May 15, 2012', '15 May 2012', '15 May, 2012', '15 May., 2012', '15 May, 2012']",0.0,"Diablo 3 was released on May 15, 2012 at 12:01 AM PST.",1,0,0
