id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",1.0,"The provided documents do not contain specific information about the premiere date of 'Carole King & James Taylor: Just Call Out My Name'. Therefore, I cannot provide the premiere date based on the given information.",0,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],1.0,"The provided documents do not contain specific information about the genre of the drama ""Good Sam."" Therefore, I can not answer the question based on the given information. 

There are factual errors in the provided documents as they do not provide information about the genre of the drama ""Good Sam."" The correct answer cannot be determined from the given documents.",0,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],1.0,"The document does not provide information on the winner of the 2022 Citrus Bowl. Therefore, I cannot answer the question based on the provided documents.",0,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],1.0,Jason Semore was a linebackers coach at Valdosta State before returning to Georgia Tech.,0,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",1.0,"The documents provided do not contain specific information about the number of vehicles Tesla delivered in 2021. Therefore, I cannot answer the question based on the given information. There are factual errors in the provided documents. The documents mention Tesla's deliveries for various years, but none of them specifically state the number of vehicles delivered by Tesla in 2021. To answer the question accurately, additional information or documents would be required. I can not answer the question because of the insufficient
information in documents. The documents do not provide a specific number for",0,0,1
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],1.0,"The provided documents do not contain information about ShowBiz Cinemas being acquired by another company. Therefore, I cannot answer the question based on the given information.",0,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],1.0,"The provided documents do not contain specific information about the location of the Super Bowl in 2022. Therefore, I cannot answer the question based on the given documents. 

There are factual errors in the provided documents as they do not provide the required information.",0,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",1.0,"The provided documents do not specify a launch date for Truth Social on iOS. The information given only mentions that Truth Social has not yet submitted an Android app to the Google Play store and that the initial web app rollout was scheduled for some time over the next week or two. Therefore, I can not answer the question about the iOS launch date due to insufficient information in the documents. There are factual errors in the provided documents. The documents do not contain specific information about the launch date of Truth Social on iOS. Therefore, the correct answer is that there is insufficient information to determine the iOS launch",0,0,1
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],1.0,"The 79th Golden Globes awarded ""West Side Story"" as the Best Motion Picture — Musical/Comedy. Additionally, it won Best Supporting Actress Role — Motion Picture for Ariana DeBose. Therefore, ""West Side Story"" won the best drama in the musical/comedy category at the 79th Golden Globes.",0,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],1.0,"I can not answer the question about the price of GA Tech softball 2022 season tickets because the provided documents do not contain information regarding the ticket prices. The documents discuss Georgia Tech Athletics, donations to the TECH Fund, and benefits of making annual contributions, but they do not specify the cost of the softball season tickets for 2022.",0,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",1.0,"The provided documents do not contain information regarding the end date of the 2022 Olympic Winter Games. Therefore, I can not answer the question based on the given documents. The 2022 Olympic Winter Games, officially known as the XXIV Olympic Winter Games, took place from February 4, 2022, to February 20, 2022. This information is not present in the provided documents. There are factual errors in the provided documents. The correct end date of the 2022 Olympic Winter Games is February 20, 20",1,0,1
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],1.0,"Barcelona won the Spanish Super Cup in 2022, as stated in Doc 4. The information provided in the documents confirms this answer.",0,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",1.0,"The provided documents do not contain specific information regarding the acquisition price Microsoft paid for Activision Blizzard. The only mention of an acquisition price is in Doc 5, which states that Activision shares were trading about 24% below its acquisition price of $95 per share. However, this does not provide the exact amount Microsoft paid for the acquisition. To determine the exact acquisition price, additional information or context would be needed.",0,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],1.0,"The provided documents do not contain specific information about the price for a 30-second spot during the Super Bowl in 2022. Therefore, I cannot answer the question based on the given information. There are factual errors in the provided documents. The documents mention the price for a 90-second commercial in 2020 and the approximate $500 million in ad revenue generated during one Super Bowl night, but they do not provide the price for a 30-second spot during the Super Bowl in 2022. To answer the question accurately, additional information",0,0,1
