id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,Super Bowl 2021 location,"['Tampa, Florida']",0.0,"The Super Bowl 2021 location was Raymond James Stadium in Tampa, Florida. This information is consistent across Documents 1, 2, 3, and 5. Document 4 provides additional context, stating that the NFL unanimously voted to move Super Bowl LV from Los Angeles to Tampa, Florida, for the February 2021 event.",1,0,0
1,Which country won the most medals at the 2018 Winter Olympics?,['Norway'],0.0,"Norway won the most medals at the 2018 Winter Olympics, collecting a total of 39 medals. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
2,Who acquired Instagram?,['Facebook'],0.0,"Instagram was acquired by Meta Platforms, which was formerly known as Facebook. This information is consistent across Documents 1, 4, and 5. The acquisition took place in April 2012, as stated in Documents 1 and 4. Document 3 also mentions the acquisition amount of $1 billion, which aligns with the information in Document 2. Therefore, the correct answer is Meta Platforms (formerly known as Facebook).",1,0,0
3,Who acquired WhatsApp?,['Facebook'],0.0,"Facebook acquired WhatsApp. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5). They all mention that Facebook purchased WhatsApp in February 2014 for a significant amount, with the exact figure varying slightly among the documents.",1,0,0
4,Who won the women's singles Wimbledon in 2019?,['Simona Halep'],0.0,"Simona Halep won the women's singles Wimbledon in 2019. This information is consistent across all documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
5,Who won the women's singles Wimbledon in 2018?,['Angelique Kerber'],0.0,"Angelique Kerber won the women's singles Wimbledon in 2018. This information is consistent across all documents (Doc 2, Doc 3, Doc 4, and Doc 5). There are no factual errors in the provided documents.",1,0,0
6,Who won the women's singles Wimbledon in 2021?,['Ashleigh Barty'],0.0,"Ashleigh Barty won the women's singles Wimbledon in 2021. This information is consistent across all documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5). They all mention that Ashleigh Barty defeated Karolina Pliskova in the final to secure her victory at Wimbledon in 2021.",1,0,0
7,Who won the men's singles Wimbledon in 2013?,['Andy Murray'],0.0,"Andy Murray won the men's singles Wimbledon in 2013. This information is consistent across all documents (Doc 1, Doc 3, Doc 4, and Doc 5). Doc 2 mentions the event but does not specify the winner.",1,0,0
8,Who won the women's singles U.S. Open in 2021?,['Emma Raducanu'],0.0,"Emma Raducanu won the women's singles U.S. Open in 2021. This information is consistent across Documents 1, 2, and 3. There are no factual errors in the provided documents.",1,0,0
9,Who won the men's singles U.S. Open in 2020?,['Dominic Thiem'],0.0,"Dominic Thiem won the men's singles U.S. Open in 2020. This information is consistent across all provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
10,Who won the women's singles U.S. Open in 2019?,['Bianca Andreescu'],0.0,"Bianca Andreescu won the women's singles U.S. Open in 2019. This information is consistent across documents [Doc 2], [Doc 4], and [Doc 5]. The documents state that Bianca Andreescu defeated Serena Williams in the final, with scores of 6–3, 7–5, and she became the first Canadian to win a Grand Slam. Document [Doc 1] also supports this by mentioning the final match between Serena Williams and Bianca Andreescu. There are no factual errors in the provided documents.",1,0,0
11,Who won the men's singles U.S. Open 2021?,['Daniil Medvedev'],0.0,"Daniil Medvedev won the men's singles U.S. Open 2021. This information is consistent across Documents 1, 3, 4, and 5, which all mention that Daniil Medvedev defeated Novak Djokovic in the final to win the title. Document 2, while not directly answering the question, provides additional context about the event, mentioning Emma Raducanu's victory in the women's singles. There are no factual errors in the provided documents regarding the winner of the men's singles U.S. Open 2",1,0,0
12,What was Tesla's revenue in Q1 2021?,['$10.4 billion'],0.0,"The documents consistently state that Tesla's revenue in Q1 2021 was $10.4 billion. Therefore, the correct answer is $10.4 billion. There are no factual errors in the provided documents.",1,0,0
13,What was Tesla's revenue in Q2 2020?,['$6.04 billion'],0.0,Tesla's revenue in Q2 2020 was $6.04 billion. This information is consistent across all the provided documents (Doc 1 to Doc 5).,1,0,0
14,What was Tesla's revenue in Q3 2019?,['$6.3 billion'],0.0,Tesla's revenue in the third quarter (Q3) of 2019 was $6.3 billion. This information is consistent across all five documents provided.,1,0,0
15,When was Splatoon 2 released?,"['July 21 2017', 'Jul 21, 2017', 'Jul. 21, 2017', 'July 21, 2017', '21 July 2017', '21 Jul, 2017', '21 Jul., 2017', '21 July, 2017']",0.0,"Splatoon 2 was released on July 21, 2017. This information is consistent across all the documents provided (Doc 2, Doc 3, and Doc 5). The first teaser date mentioned in Doc 1 and Doc 4 does not affect the release date of the game.",1,0,0
16,Who acquired 20th Century Fox?,['Disney'],0.0,"The Walt Disney Company acquired 20th Century Fox. This information is consistent across Documents 3, 4, and 5, which mention the acquisition deal and the $52.4 billion all-stock deal. The acquisition was completed on December 14, 2017, as stated in Document 3.",1,0,0
17,Who won the French Presidential Election 2017?,['Emmanuel Macron'],0.0,"Emmanuel Macron won the French Presidential Election in 2017. The provided documents consistently mention that voters in France chose Emmanuel Macron as their next president on May 7, 2017. There are no factual errors or inconsistencies in the documents regarding the winner of the election.",1,0,0
18,Who won the US Presidential Election 2020?,['Joe Biden'],0.0,"Joe Biden won the US Presidential Election in 2020. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, and Doc 5), which mention that Joe Biden was the Democratic presidential nominee in the 2020 United States elections. Doc 4 further confirms that Joe Biden won the election to become the 46th US President. There are no factual errors in the provided documents.",1,0,0
19,When was Diablo 3 released?,"['May 15 2012', 'May 15, 2012', 'May. 15, 2012', 'May 15, 2012', '15 May 2012', '15 May, 2012', '15 May., 2012', '15 May, 2012']",0.0,"Diablo 3 was released on May 15, 2012. This information is consistent across all five documents provided.",1,0,0
20,Who won the 2021 Tour de France?,['Tadej Pogačar'],0.0,"Tadej Pogačar of UAE Team Emirates won the 2021 Tour de France. This information is consistent across Documents 1, 2, 3, and 5. Document 4 also confirms that Pogačar took home the yellow jersey as the overall winner.",1,0,0
21,Who won the 2019 Tour de France?,['Egan Bernal'],0.0,"Egan Bernal won the 2019 Tour de France. This information is consistent across all documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
22,When was xenoblade chronicles 2 released?,"['December 1 2017', 'Dec 1, 2017', 'Dec. 1, 2017', 'December 1, 2017', '1 December 2017', '1 Dec, 2017', '1 Dec., 2017', '1 December, 2017']",0.0,"The information provided in the documents indicates that Xenoblade Chronicles 2 was announced during the Nintendo Switch Presentation on January 12, 2017, and released on December 1, 2017. Therefore, Xenoblade Chronicles 2 was released on December 1, 2017.",1,0,0
23,When was xenoblade chronicles X released in Japan?,"['April 29 2015', 'Apr 29, 2015', 'Apr. 29, 2015', 'April 29, 2015', '29 April 2015', '29 Apr, 2015', '29 Apr., 2015', '29 April, 2015']",0.0,"Xenoblade Chronicles X was released in Japan on April 29, 2015. This information is consistent across Documents 1, 2, 3, and 4. Document 5 also confirms the release date. There are no factual errors in the provided documents.",1,0,0
24,When was xenoblade chronicles Definite Edition released?,"['May 29 2020', 'May 29, 2020', 'May. 29, 2020', 'May 29, 2020', '29 May 2020', '29 May, 2020', '29 May., 2020', '29 May, 2020']",0.0,"The Xenoblade Chronicles: Definitive Edition was released on May 29, 2020. This information is consistent across all the provided documents (Doc 1, Doc 3, Doc 4, and Doc 5). There are no factual errors in the provided documents.",1,0,0
25,When was GPT-3 released?,"['June 2020', 'Jun 2020', 'Jun. 2020', 'June, 2020', 'Jun, 2020', 'Jun., 2020']",0.0,"GPT-3 was released in June 2020. This information is consistent across Documents 1, 2, 3, and 4. Document 5 also confirms this release date.",1,0,0
26,When was OpenAI founded?,"['December 2015', 'Dec 2015', 'Dec. 2015', 'December, 2015', 'Dec, 2015', 'Dec., 2015']",0.0,OpenAI was founded in December 2015. All the documents provided are consistent and confirm this information.,1,0,0
27,Who is the Heisman Trophy winner in 2012?,['Johnny Manziel'],0.0,"The Heisman Trophy winner in 2012 is Johnny Manziel. This information is confirmed by Doc 2 and Doc 5, which state that Johnny Manziel won the Heisman Trophy in 2012. There are no factual errors in the provided documents.",1,0,0
28,Who is the Walter Camp Award winner in 2017?,['Baker Mayfield'],0.0,"The Walter Camp Award winner in 2017 is Baker Mayfield. This information is consistent across Documents 1, 3, and 5, which all mention that Baker Mayfield won the Walter Camp Award in 2017. Documents 2 and 4 also mention Baker Mayfield as the winner of the Walter Camp Award in 2017, although they also include additional information about the complete list of winners and the context of the awards. There are no factual errors in the provided documents.",1,0,0
29,Who is the Maxwell Award winner in 2019?,['Joe Burrow'],0.0,"The Maxwell Award winner in 2019 is Joe Burrow from Louisiana State University. This information is consistent across Documents 1, 2, 3, 4, and 5.",1,0,0
30,Who is the director of the Avatar movie?,['James Cameron'],0.0,"The director of the Avatar movie is James Cameron. This information is consistent across Documents 1, 3, and 5, which mention James Cameron writing an 80-page treatment for Avatar in 1994 and being one of the most sought-after directors in Hollywood. Documents 2 and 4 provide additional information about James Cameron's career and a statement about 'Avatar 2,' but they do not contradict the information about him being the director of Avatar.",1,0,0
31,Who is the director of the Silent Hill movie?,['Christophe Gans'],0.0,"The director of the Silent Hill movie is Christophe Gans. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
32,Who is the director of the Assassin's Creed movie?,['Justin Kurzel'],0.0,"The director of the Assassin's Creed movie is Justin Kurzel. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
33,What is the premiere date of Grey's Anatomy Season 17?,"['November 12 2020', 'Nov 12, 2020', 'Nov. 12, 2020', 'November 12, 2020', '12 November 2020', '12 Nov, 2020', '12 Nov., 2020', '12 November, 2020']",0.0,"The premiere date of Grey's Anatomy Season 17 is November 12, 2020. This information is consistent across Documents 1, 4, and 5.",1,0,0
34,What is the premiere date of The Walking Dead Season 11?,"['August 22 2021', 'Aug 22, 2021', 'Aug. 22, 2021', 'August 22, 2021', '22 August 2021', '22 Aug, 2021', '22 Aug., 2021', '22 August, 2021']",0.0,"The premiere date of The Walking Dead Season 11 is August 22, 2021. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
35,Who won the World Cup Final in 2018?,['France'],0.0,"France won the World Cup Final in 2018. This information is consistent across Documents 1, 4, and 5, which mention France's victory over Russia in the final and their triumph in the 2018 FIFA World Cup. Documents 2 and 3 provide additional details about the match but do not contradict the fact that France won the 2018 World Cup Final.",1,0,0
36,Who won the World Cup Final in 2014?,['Germany'],0.0,"Germany won the World Cup Final in 2014. This information is consistent across all documents provided. Germany secured their victory with a 1-0 win over Argentina after extra time, as mentioned in Doc 2 and supported by the details in Doc 3 and Doc 4. Doc 5 also refers to the final match between Germany and Argentina, confirming Germany as the winner.",1,0,0
37,Who won the World Cup Final in 2010?,['Spain'],0.0,"Spain won the World Cup Final in 2010. This information is confirmed by Doc 3, which states that Iniesta scored the latest winning goal in the final, giving Spain their first World Cup title. The other documents provide additional context and statistics but do not contradict this fact.",1,0,0
38,When was Marvel's Spider-Man released?,"['September 7 2018', 'Sep 7, 2018', 'Sep. 7, 2018', 'September 7, 2018', '7 September 2018', '7 Sep, 2018', '7 Sep., 2018', '7 September, 2018']",0.0,"Marvel's Spider-Man was released on September 7, 2018. All the documents provided are consistent and contain the correct information regarding the release date of the game.",1,0,0
39,When was Assassin's Creed Valhalla released?,"['November 10 2020', 'Nov 10, 2020', 'Nov. 10, 2020', 'November 10, 2020', '10 November 2020', '10 Nov, 2020', '10 Nov., 2020', '10 November, 2020']",0.0,"Assassin's Creed Valhalla was released on November 10, 2020. This information is consistent across all five documents (Doc 1 to Doc 5).",1,0,0
40,When does the iPhone 11 release?,"['September 20 2019', 'Sep 20, 2019', 'Sep. 20, 2019', 'September 20, 2019', '20 September 2019', '20 Sep, 2019', '20 Sep., 2019', '20 September, 2019']",0.0,"The iPhone 11 was officially released on September 20, 2019. This information is consistent across Documents 1, 3, and 4. Documents 2 and 5 mention the same release date and also note that the iPhone 11 is considered older in the fast-paced smartphone market as of June 4, 2023.",1,0,0
41,What is women's year-end No 1 in tennis in 2020?,['Ashleigh Barty'],0.0,"The women's year-end No. 1 in tennis in 2020 was Australia's Ashleigh Barty. This information is consistent across all five documents provided, which all state that Ashleigh Barty finished the year as the WTA Year-End World No. 1 for the second consecutive year.",1,0,0
42,What is men's year-end No 1 in tennis in 2019?,['Rafael Nadal'],0.0,"Rafael Nadal finished the year as men's year-end No. 1 in tennis in 2019. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
43,How much did Google acquire YouTube for?,['$1.65 billion'],0.0,"Google acquired YouTube for $1.65 billion. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
44,when was The Legend of Zelda: Breath of the Wild released?,"['March 3 2017', 'Mar 3, 2017', 'Mar. 3, 2017', 'March 3, 2017', '3 March 2017', '3 Mar, 2017', '3 Mar., 2017', '3 March, 2017']",0.0,"The Legend of Zelda: Breath of the Wild was released on March 3, 2017. This information is consistent across Documents 1, 2, 3, and 4. Document 5 also confirms the release date but does not provide the sales figures. There are no factual errors in the provided documents regarding the release date.",1,0,0
45,when was The Legend of Zelda: Ocarina of Time released?,"['November 21 1998', 'Nov 21, 1998', 'Nov. 21, 1998', 'November 21, 1998', '21 November 1998', '21 Nov, 1998', '21 Nov., 1998', '21 November, 1998']",0.0,"The Legend of Zelda: Ocarina of Time was released on November 21, 1998, in Japan, November 23, 1998, in the United States, December 11, 1998, in Europe, and December 18, 1998, in Australia. All documents are consistent with each other, so there are no factual errors. The answer is November 21, 1998, for the release date in Japan.",1,0,0
46,when was Xenoblade Chronicles 2 released?,"['December 1 2017', 'Dec 1, 2017', 'Dec. 1, 2017', 'December 1, 2017', '1 December 2017', '1 Dec, 2017', '1 Dec., 2017', '1 December, 2017']",0.0,"Xenoblade Chronicles 2 was released on December 1, 2017. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
47,When did the Golden Globe Awards 2020 take place?,"['January 5 2020', 'Jan 5, 2020', 'Jan. 5, 2020', 'January 5, 2020', '5 January 2020', '5 Jan, 2020', '5 Jan., 2020', '5 January, 2020']",0.0,"The Golden Globe Awards 2020 took place on January 5, 2020. This information is consistent across Documents 1, 2, 3, and 5. Document 4 also confirms the date.",1,0,0
48,Who was awarded the 2021 Nobel Prize in Literature?,['Abdulrazak Gurnah'],0.0,"Abdulrazak Gurnah was awarded the 2021 Nobel Prize in Literature. This information is consistent across all provided documents (Doc 1, Doc 2, Doc 3, and Doc 5). Doc 4 provides additional context about his Nobel Prize lecture but does not change the fact that he was the recipient of the award.",1,0,0
49,Who was awarded the 2019 Nobel Prize in Literature?,['Peter Handke'],0.0,"The 2019 Nobel Prize in Literature was awarded to the Austrian writer Peter Handke (born 1942). The documents confirm this information, and there are no factual errors in the provided documents. Additionally, it is mentioned that Polish author Olga Tokarczuk was also awarded the prize, making it a joint award.",1,0,0
